214|"325468"|"2481130"|"18921947"
214|"325469"|"2481130"|"18921948"
214|"325475"|"2481130"|"18921953"
214|"325476"|"2481130"|"18921954"
120|"325468"|"2481341"|"18921979"
120|"325469"|"2481341"|"18921980"
120|"325475"|"2481341"|"18921985"
120|"325476"|"2481341"|"18921986"
201|"325468"|"2481342"|"18921987"
201|"325469"|"2481342"|"18921988"
201|"325475"|"2481342"|"18921993"
201|"325476"|"2481342"|"18921994"
35|"325468"|"2481343"|"18921995"
35|"325469"|"2481343"|"18921996"
35|"325475"|"2481343"|"18922001"
35|"325476"|"2481343"|"18922002"
38|"325468"|"2481344"|"18922003"
38|"325469"|"2481344"|"18922004"
38|"325475"|"2481344"|"18922009"
38|"325476"|"2481344"|"18922010"
231|"325468"|"2481345"|"18922011"
231|"325469"|"2481345"|"18922012"
231|"325475"|"2481345"|"18922017"
231|"325476"|"2481345"|"18922018"
95|"325468"|"2481346"|"18922019"
95|"325469"|"2481346"|"18922020"
95|"325475"|"2481346"|"18922025"
95|"325476"|"2481346"|"18922026"
230|"325468"|"2482920"|"18922420"
230|"325469"|"2482920"|"18922421"
230|"325475"|"2482920"|"18922426"
230|"325476"|"2482920"|"18922427"
150|"325468"|"2482921"|"18922428"
150|"325469"|"2482921"|"18922429"
150|"325475"|"2482921"|"18922431"
150|"325476"|"2482921"|"18922432"
45|"325468"|"2482922"|"18922436"
45|"325469"|"2482922"|"18922437"
45|"325475"|"2482922"|"18922439"
45|"325476"|"2482922"|"18922440"
27|"325468"|"2482923"|"18922444"
27|"325469"|"2482923"|"18922445"
27|"325475"|"2482923"|"18922450"
27|"325476"|"2482923"|"18922451"
120|"325468"|"2482930"|"18922468"
120|"325469"|"2482930"|"18922469"
120|"325475"|"2482930"|"18922474"
120|"325476"|"2482930"|"18922475"
59|"325468"|"2482931"|"18922476"
59|"325469"|"2482931"|"18922477"
59|"325475"|"2482931"|"18922482"
59|"325476"|"2482931"|"18922483"
106|"325468"|"2482932"|"18922484"
106|"325469"|"2482932"|"18922485"
106|"325475"|"2482932"|"18922490"
106|"325476"|"2482932"|"18922491"
2|"325468"|"2482933"|"18922492"
2|"325469"|"2482933"|"18922493"
2|"325475"|"2482933"|"18922498"
2|"325476"|"2482933"|"18922499"
33|"325468"|"2482936"|"18923046"
33|"325469"|"2482936"|"18923047"
33|"325474"|"2482936"|"18923051"
33|"325475"|"2482936"|"18923052"
33|"325476"|"2482936"|"18923053"
37|"325468"|"2482937"|"18923030"
37|"325469"|"2482937"|"18923031"
37|"325474"|"2482937"|"18923035"
37|"325475"|"2482937"|"18923036"
37|"325476"|"2482937"|"18923037"
52|"325468"|"2482938"|"18923014"
52|"325469"|"2482938"|"18923015"
52|"325474"|"2482938"|"18923019"
52|"325475"|"2482938"|"18923020"
52|"325476"|"2482938"|"18923021"
73|"325468"|"2485291"|"18922579"
73|"325469"|"2485291"|"18922580"
73|"325470"|"2485291"|"18922581"
73|"325472"|"2485291"|"18922584"
73|"325473"|"2485291"|"18922585"
73|"325474"|"2485291"|"18922586"
73|"325475"|"2485291"|"18922582"
73|"325476"|"2485291"|"18922583"
142|"325468"|"2485292"|"18922587"
142|"325469"|"2485292"|"18922588"
142|"325470"|"2485292"|"18922589"
142|"325472"|"2485292"|"18922590"
142|"325473"|"2485292"|"18922591"
142|"325474"|"2485292"|"18922592"
142|"325475"|"2485292"|"18922593"
142|"325476"|"2485292"|"18922594"
71|"325468"|"2485293"|"18922595"
71|"325469"|"2485293"|"18922596"
71|"325470"|"2485293"|"18922597"
71|"325472"|"2485293"|"18922600"
71|"325473"|"2485293"|"18922601"
71|"325474"|"2485293"|"18922602"
71|"325475"|"2485293"|"18922598"
71|"325476"|"2485293"|"18922599"
164|"325468"|"2515376"|"18923022"
164|"325469"|"2515376"|"18923023"
164|"325470"|"2515376"|"18923024"
164|"325472"|"2515376"|"18923025"
164|"325473"|"2515376"|"18923026"
52|"325473"|"2482938"|"18923018"
52|"325472"|"2482938"|"18923017"
52|"325470"|"2482938"|"18923016"
37|"325473"|"2482937"|"18923034"
37|"325472"|"2482937"|"18923033"
37|"325470"|"2482937"|"18923032"
33|"325473"|"2482936"|"18923050"
33|"325472"|"2482936"|"18923049"
33|"325470"|"2482936"|"18923048"
2|"325474"|"2482933"|"18922497"
2|"325473"|"2482933"|"18922496"
2|"325472"|"2482933"|"18922495"
2|"325470"|"2482933"|"18922494"
106|"325474"|"2482932"|"18922489"
106|"325473"|"2482932"|"18922488"
106|"325472"|"2482932"|"18922487"
106|"325470"|"2482932"|"18922486"
59|"325474"|"2482931"|"18922481"
59|"325473"|"2482931"|"18922480"
59|"325472"|"2482931"|"18922479"
59|"325470"|"2482931"|"18922478"
120|"325474"|"2482930"|"18922473"
120|"325473"|"2482930"|"18922472"
120|"325472"|"2482930"|"18922471"
120|"325470"|"2482930"|"18922470"
27|"325474"|"2482923"|"18922449"
27|"325473"|"2482923"|"18922448"
27|"325472"|"2482923"|"18922447"
27|"325470"|"2482923"|"18922446"
45|"325474"|"2482922"|"18922443"
45|"325473"|"2482922"|"18922442"
45|"325472"|"2482922"|"18922441"
45|"325470"|"2482922"|"18922438"
150|"325474"|"2482921"|"18922435"
150|"325473"|"2482921"|"18922434"
150|"325472"|"2482921"|"18922433"
150|"325470"|"2482921"|"18922430"
230|"325474"|"2482920"|"18922425"
230|"325473"|"2482920"|"18922424"
230|"325472"|"2482920"|"18922423"
230|"325470"|"2482920"|"18922422"
95|"325474"|"2481346"|"18922024"
95|"325473"|"2481346"|"18922023"
95|"325472"|"2481346"|"18922022"
95|"325470"|"2481346"|"18922021"
231|"325474"|"2481345"|"18922016"
231|"325473"|"2481345"|"18922015"
231|"325472"|"2481345"|"18922014"
231|"325470"|"2481345"|"18922013"
38|"325474"|"2481344"|"18922008"
38|"325473"|"2481344"|"18922007"
38|"325472"|"2481344"|"18922006"
38|"325470"|"2481344"|"18922005"
35|"325474"|"2481343"|"18922000"
35|"325473"|"2481343"|"18921999"
35|"325472"|"2481343"|"18921998"
35|"325470"|"2481343"|"18921997"
201|"325474"|"2481342"|"18921992"
201|"325473"|"2481342"|"18921991"
201|"325472"|"2481342"|"18921990"
201|"325470"|"2481342"|"18921989"
120|"325474"|"2481341"|"18921984"
120|"325473"|"2481341"|"18921983"
120|"325472"|"2481341"|"18921982"
120|"325470"|"2481341"|"18921981"
214|"325474"|"2481130"|"18921952"
214|"325473"|"2481130"|"18921951"
214|"325472"|"2481130"|"18921950"
214|"325470"|"2481130"|"18921949"
164|"325474"|"2515376"|"18923027"
164|"325475"|"2515376"|"18923028"
164|"325476"|"2515376"|"18923029"
12|"325468"|"2515377"|"18923006"
12|"325469"|"2515377"|"18923007"
12|"325470"|"2515377"|"18923008"
12|"325472"|"2515377"|"18923009"
12|"325473"|"2515377"|"18923010"
12|"325474"|"2515377"|"18923011"
12|"325475"|"2515377"|"18923012"
12|"325476"|"2515377"|"18923013"
154|"325468"|"2515378"|"18922173"
154|"325469"|"2515378"|"18922174"
154|"325470"|"2515378"|"18922175"
82|"325471"|"2515378"|"18922176"
154|"325472"|"2515378"|"18922177"
154|"325473"|"2515378"|"18922178"
154|"325474"|"2515378"|"18922179"
154|"325475"|"2515378"|"18922180"
154|"325476"|"2515378"|"18922181"
24|"325468"|"2515379"|"18922561"
24|"325469"|"2515379"|"18922562"
24|"325470"|"2515379"|"18922563"
24|"325471"|"2515379"|"18922567"
24|"325472"|"2515379"|"18922568"
24|"325473"|"2515379"|"18922569"
24|"325474"|"2515379"|"18922564"
24|"325475"|"2515379"|"18922565"
24|"325476"|"2515379"|"18922566"
570|"325468"|"2515380"|"18922164"
570|"325469"|"2515380"|"18922165"
570|"325470"|"2515380"|"18922166"
266|"325471"|"2515380"|"18922167"
570|"325472"|"2515380"|"18922168"
570|"325473"|"2515380"|"18922169"
570|"325474"|"2515380"|"18922170"
570|"325475"|"2515380"|"18922171"
570|"325476"|"2515380"|"18922172"
521|"325468"|"2518772"|"18922182"
521|"325469"|"2518772"|"18922183"
521|"325470"|"2518772"|"18922184"
231|"325471"|"2518772"|"18922185"
521|"325472"|"2518772"|"18922186"
521|"325473"|"2518772"|"18922187"
521|"325474"|"2518772"|"18922188"
521|"325475"|"2518772"|"18922189"
521|"325476"|"2518772"|"18922190"
159|"325468"|"2518773"|"18922200"
159|"325469"|"2518773"|"18922201"
159|"325470"|"2518773"|"18922202"
61|"325471"|"2518773"|"18922203"
159|"325472"|"2518773"|"18922204"
159|"325473"|"2518773"|"18922205"
159|"325474"|"2518773"|"18922206"
159|"325475"|"2518773"|"18922207"
159|"325476"|"2518773"|"18922208"
23|"325468"|"2518774"|"18922191"
23|"325469"|"2518774"|"18922192"
23|"325470"|"2518774"|"18922193"
17|"325471"|"2518774"|"18922194"
23|"325472"|"2518774"|"18922195"
23|"325473"|"2518774"|"18922196"
23|"325474"|"2518774"|"18922197"
23|"325475"|"2518774"|"18922198"
23|"325476"|"2518774"|"18922199"
8|"325468"|"2518775"|"18922508"
8|"325469"|"2518775"|"18922509"
8|"325470"|"2518775"|"18922510"
3|"325471"|"2518775"|"18922514"
8|"325472"|"2518775"|"18922515"
8|"325473"|"2518775"|"18922516"
8|"325474"|"2518775"|"18922511"
8|"325475"|"2518775"|"18922512"
8|"325476"|"2518775"|"18922513"
22|"325468"|"2518779"|"18922570"
22|"325469"|"2518779"|"18922571"
22|"325470"|"2518779"|"18922572"
5|"325471"|"2518779"|"18922573"
22|"325472"|"2518779"|"18922574"
22|"325473"|"2518779"|"18922575"
22|"325474"|"2518779"|"18922576"
22|"325475"|"2518779"|"18922577"
22|"325476"|"2518779"|"18922578"
9|"325468"|"2518780"|"18922209"
9|"325469"|"2518780"|"18922210"
9|"325470"|"2518780"|"18922211"
9|"325471"|"2518780"|"18922212"
9|"325472"|"2518780"|"18922213"
9|"325473"|"2518780"|"18922214"
9|"325474"|"2518780"|"18922215"
9|"325475"|"2518780"|"18922216"
9|"325476"|"2518780"|"18922217"
499|"325468"|"2518794"|"18922218"
499|"325469"|"2518794"|"18922219"
499|"325470"|"2518794"|"18922220"
105|"325471"|"2518794"|"18922224"
499|"325472"|"2518794"|"18922225"
499|"325473"|"2518794"|"18922226"
499|"325474"|"2518794"|"18922221"
499|"325475"|"2518794"|"18922222"
499|"325476"|"2518794"|"18922223"
132|"325468"|"2518800"|"18922404"
132|"325469"|"2518800"|"18922405"
132|"325470"|"2518800"|"18922406"
132|"325472"|"2518800"|"18922407"
132|"325473"|"2518800"|"18922408"
132|"325474"|"2518800"|"18922409"
132|"325475"|"2518800"|"18922410"
132|"325476"|"2518800"|"18922411"
78|"325468"|"2518801"|"18922412"
78|"325469"|"2518801"|"18922413"
78|"325470"|"2518801"|"18922414"
78|"325472"|"2518801"|"18922415"
78|"325473"|"2518801"|"18922416"
78|"325474"|"2518801"|"18922417"
78|"325475"|"2518801"|"18922418"
78|"325476"|"2518801"|"18922419"
87|"325468"|"2518802"|"18922635"
87|"325469"|"2518802"|"18922636"
87|"325470"|"2518802"|"18922637"
87|"325472"|"2518802"|"18922640"
87|"325473"|"2518802"|"18922641"
87|"325474"|"2518802"|"18922642"
87|"325475"|"2518802"|"18922638"
87|"325476"|"2518802"|"18922639"
17|"325468"|"2518803"|"18922627"
17|"325469"|"2518803"|"18922628"
17|"325470"|"2518803"|"18922629"
17|"325472"|"2518803"|"18922632"
17|"325473"|"2518803"|"18922633"
17|"325474"|"2518803"|"18922634"
17|"325475"|"2518803"|"18922630"
17|"325476"|"2518803"|"18922631"
22|"325468"|"2518804"|"18922619"
22|"325469"|"2518804"|"18922620"
22|"325470"|"2518804"|"18922621"
22|"325472"|"2518804"|"18922622"
22|"325473"|"2518804"|"18922623"
22|"325474"|"2518804"|"18922624"
22|"325475"|"2518804"|"18922625"
22|"325476"|"2518804"|"18922626"
223|"325468"|"2518805"|"18922227"
223|"325469"|"2518805"|"18922228"
223|"325470"|"2518805"|"18922229"
211|"325471"|"2518805"|"18922230"
223|"325472"|"2518805"|"18922231"
223|"325473"|"2518805"|"18922232"
223|"325474"|"2518805"|"18922233"
223|"325475"|"2518805"|"18922234"
223|"325476"|"2518805"|"18922235"
276|"325468"|"2518806"|"18922236"
276|"325469"|"2518806"|"18922237"
276|"325470"|"2518806"|"18922238"
269|"325471"|"2518806"|"18922239"
276|"325472"|"2518806"|"18922240"
276|"325473"|"2518806"|"18922241"
276|"325474"|"2518806"|"18922242"
276|"325475"|"2518806"|"18922243"
276|"325476"|"2518806"|"18922244"
57|"325468"|"2518807"|"18922245"
57|"325469"|"2518807"|"18922246"
57|"325470"|"2518807"|"18922247"
55|"325471"|"2518807"|"18922248"
57|"325472"|"2518807"|"18922249"
57|"325473"|"2518807"|"18922250"
57|"325474"|"2518807"|"18922251"
57|"325475"|"2518807"|"18922252"
57|"325476"|"2518807"|"18922253"
20|"325468"|"2518808"|"18922254"
20|"325469"|"2518808"|"18922255"
20|"325470"|"2518808"|"18922256"
20|"325471"|"2518808"|"18922257"
20|"325472"|"2518808"|"18922258"
20|"325473"|"2518808"|"18922259"
20|"325474"|"2518808"|"18922260"
20|"325475"|"2518808"|"18922261"
20|"325476"|"2518808"|"18922262"
144|"325468"|"2518809"|"18922534"
144|"325469"|"2518809"|"18922535"
144|"325470"|"2518809"|"18922536"
141|"325471"|"2518809"|"18922537"
144|"325472"|"2518809"|"18922538"
144|"325473"|"2518809"|"18922539"
144|"325474"|"2518809"|"18922540"
144|"325475"|"2518809"|"18922541"
144|"325476"|"2518809"|"18922542"
22|"325468"|"2518810"|"18922525"
22|"325469"|"2518810"|"18922526"
22|"325470"|"2518810"|"18922527"
21|"325471"|"2518810"|"18922528"
22|"325472"|"2518810"|"18922529"
22|"325473"|"2518810"|"18922530"
22|"325474"|"2518810"|"18922531"
22|"325475"|"2518810"|"18922532"
22|"325476"|"2518810"|"18922533"
28|"325468"|"2518812"|"18922543"
28|"325469"|"2518812"|"18922544"
28|"325470"|"2518812"|"18922545"
27|"325471"|"2518812"|"18922546"
28|"325472"|"2518812"|"18922547"
28|"325473"|"2518812"|"18922548"
28|"325474"|"2518812"|"18922549"
28|"325475"|"2518812"|"18922550"
28|"325476"|"2518812"|"18922551"
686|"325468"|"2518813"|"18922979"
686|"325469"|"2518813"|"18922980"
686|"325470"|"2518813"|"18922981"
666|"325471"|"2518813"|"18922982"
686|"325472"|"2518813"|"18922983"
686|"325473"|"2518813"|"18922984"
686|"325474"|"2518813"|"18922985"
686|"325475"|"2518813"|"18922986"
686|"325476"|"2518813"|"18922987"
381|"325468"|"2518815"|"18922271"
381|"325469"|"2518815"|"18922272"
381|"325470"|"2518815"|"18922273"
201|"325471"|"2518815"|"18922274"
381|"325472"|"2518815"|"18922275"
381|"325473"|"2518815"|"18922276"
381|"325474"|"2518815"|"18922277"
381|"325475"|"2518815"|"18922278"
381|"325476"|"2518815"|"18922279"
1911|"325468"|"2518816"|"18922289"
1911|"325469"|"2518816"|"18922290"
1911|"325470"|"2518816"|"18922291"
440|"325471"|"2518816"|"18922292"
1911|"325472"|"2518816"|"18922293"
1911|"325473"|"2518816"|"18922294"
1911|"325474"|"2518816"|"18922295"
1911|"325475"|"2518816"|"18922296"
1911|"325476"|"2518816"|"18922297"
1499|"325468"|"2518817"|"18922380"
1499|"325469"|"2518817"|"18922381"
1499|"325470"|"2518817"|"18922382"
1499|"325472"|"2518817"|"18922383"
1499|"325473"|"2518817"|"18922384"
1499|"325474"|"2518817"|"18922385"
1499|"325475"|"2518817"|"18922386"
1499|"325476"|"2518817"|"18922387"
643|"325468"|"2518818"|"18922372"
643|"325469"|"2518818"|"18922373"
643|"325470"|"2518818"|"18922374"
643|"325472"|"2518818"|"18922375"
643|"325473"|"2518818"|"18922376"
643|"325474"|"2518818"|"18922377"
643|"325475"|"2518818"|"18922378"
643|"325476"|"2518818"|"18922379"
23|"325468"|"2518819"|"18922988"
23|"325469"|"2518819"|"18922989"
23|"325470"|"2518819"|"18922990"
22|"325471"|"2518819"|"18922994"
23|"325472"|"2518819"|"18922995"
23|"325473"|"2518819"|"18922996"
23|"325474"|"2518819"|"18922991"
23|"325475"|"2518819"|"18922992"
23|"325476"|"2518819"|"18922993"
16|"325468"|"2518820"|"18922280"
16|"325469"|"2518820"|"18922281"
16|"325470"|"2518820"|"18922282"
16|"325471"|"2518820"|"18922286"
16|"325472"|"2518820"|"18922287"
16|"325473"|"2518820"|"18922288"
16|"325474"|"2518820"|"18922283"
16|"325475"|"2518820"|"18922284"
16|"325476"|"2518820"|"18922285"
129|"325468"|"2518825"|"18922970"
129|"325469"|"2518825"|"18922971"
129|"325470"|"2518825"|"18922972"
126|"325471"|"2518825"|"18922973"
129|"325472"|"2518825"|"18922974"
129|"325473"|"2518825"|"18922975"
129|"325474"|"2518825"|"18922976"
129|"325475"|"2518825"|"18922977"
129|"325476"|"2518825"|"18922978"
11822|"325468"|"2518826"|"18922363"
11822|"325469"|"2518826"|"18922364"
11822|"325470"|"2518826"|"18922365"
6|"325471"|"2518826"|"18922366"
11822|"325472"|"2518826"|"18922367"
11822|"325473"|"2518826"|"18922368"
11822|"325474"|"2518826"|"18922369"
11822|"325475"|"2518826"|"18922370"
11822|"325476"|"2518826"|"18922371"
1318|"325468"|"2518827"|"18922388"
1318|"325469"|"2518827"|"18922389"
1318|"325470"|"2518827"|"18922390"
1318|"325472"|"2518827"|"18922391"
1318|"325473"|"2518827"|"18922392"
1318|"325474"|"2518827"|"18922393"
1318|"325475"|"2518827"|"18922394"
1318|"325476"|"2518827"|"18922395"
28|"325468"|"2518829"|"18922091"
28|"325469"|"2518829"|"18922092"
28|"325470"|"2518829"|"18922093"
28|"325472"|"2518829"|"18922094"
28|"325473"|"2518829"|"18922095"
28|"325474"|"2518829"|"18922096"
28|"325475"|"2518829"|"18922097"
28|"325476"|"2518829"|"18922098"
1702|"325468"|"2518830"|"18922099"
1702|"325469"|"2518830"|"18922100"
1702|"325470"|"2518830"|"18922101"
1702|"325472"|"2518830"|"18922102"
1702|"325473"|"2518830"|"18922103"
1702|"325474"|"2518830"|"18922104"
1702|"325475"|"2518830"|"18922105"
1702|"325476"|"2518830"|"18922106"
3616|"325468"|"2518831"|"18922107"
3616|"325469"|"2518831"|"18922108"
3616|"325470"|"2518831"|"18922109"
3616|"325472"|"2518831"|"18922110"
3616|"325473"|"2518831"|"18922111"
3616|"325474"|"2518831"|"18922112"
3616|"325475"|"2518831"|"18922113"
3616|"325476"|"2518831"|"18922114"
4609|"325468"|"2518832"|"18922115"
4609|"325469"|"2518832"|"18922116"
4609|"325470"|"2518832"|"18922117"
4609|"325472"|"2518832"|"18922120"
