"2"|"13881363"|"3125284"
"3"|"13881363"|"3125285"
"2"|"13881364"|"3125286"
"3"|"13881364"|"3125287"
"2"|"13881365"|"3125288"
"2"|"13881380"|"3125289"
"2"|"13881384"|"3125290"
"2"|"13881388"|"3125291"
"3"|"13881482"|"3125292"
"1"|"13881482"|"3125293"
"2"|"13881489"|"3125294"
"2"|"13881497"|"3125295"
"2"|"13881504"|"3125296"
"2"|"13881517"|"3125297"
"2"|"13881523"|"3125298"
"2"|"13881528"|"3125299"
"2"|"13881533"|"3125300"
"3"|"13881541"|"3125301"
"1"|"13881542"|"3125302"
"3"|"13881542"|"3125303"
"2"|"13881543"|"3125304"
"3"|"13881543"|"3125305"
"2"|"13881544"|"3125306"
"1"|"13881545"|"3125307"
"3"|"13881545"|"3125308"
"2"|"13881546"|"3125309"
"3"|"13881551"|"3125310"
"2"|"13881552"|"3125311"
"3"|"13881552"|"3125312"
"1"|"13881553"|"3125313"
"3"|"13881553"|"3125314"
"1"|"13881554"|"3125315"
"3"|"13881554"|"3125316"
"2"|"13881555"|"3125317"
"2"|"13881557"|"3125318"
"2"|"13881724"|"3125319"
"1"|"13881727"|"3125320"
"3"|"13881727"|"3125321"
"2"|"13881730"|"3125322"
"2"|"13881737"|"3125323"
"2"|"13881747"|"3125324"
"2"|"13881768"|"3125325"
"3"|"13881768"|"3125326"
"2"|"13881799"|"3125327"
"2"|"13881840"|"3125328"
"2"|"13881843"|"3125329"
"3"|"13881843"|"3125330"
"2"|"13881896"|"3125331"
"2"|"13881897"|"3125332"
"3"|"13881897"|"3125333"
"1"|"13881898"|"3125334"
"3"|"13881898"|"3125335"
"2"|"13881899"|"3125336"
"3"|"13881899"|"3125337"
"4"|"13881899"|"3125338"
"2"|"13881920"|"3125339"
"2"|"13881927"|"3125340"
"2"|"13881955"|"3125341"
"2"|"13881966"|"3125342"
"3"|"13881966"|"3125343"
"1"|"13881967"|"3125344"
"3"|"13881967"|"3125345"
"1"|"13881968"|"3125346"
"3"|"13881968"|"3125347"
"2"|"13881969"|"3125348"
"3"|"13881969"|"3125349"
"1"|"13881970"|"3125350"
"3"|"13881970"|"3125351"
"1"|"13881972"|"3125352"
"2"|"13881973"|"3125353"
"2"|"13881974"|"3125354"
"1"|"13881975"|"3125355"
"1"|"13881976"|"3125356"
"1"|"13881977"|"3125357"
"1"|"13881978"|"3125358"
"2"|"13881979"|"3125359"
"1"|"13881980"|"3125360"
"1"|"13881981"|"3125361"
"2"|"13881982"|"3125362"
"2"|"13881983"|"3125363"
"2"|"13881984"|"3125364"
"1"|"13881985"|"3125365"
"1"|"13881986"|"3125366"
"3"|"13881986"|"3125367"
"2"|"13881987"|"3125368"
"2"|"13881988"|"3125369"
"1"|"13881989"|"3125370"
"3"|"13881989"|"3125371"
"2"|"13881990"|"3125372"
