"u"|"39853516"|"14889885"
"u"|"39853517"|"14889886"
"u"|"39853518"|"14889883"
"u"|"39853519"|"14889884"
"u"|"39853520"|"14889256"
"u"|"39853521"|"14889257"
"u"|"39853522"|"14889258"
"w"|"39853523"|"14889783"
"u"|"39853523"|"14889784"
"u"|"39853525"|"14889782"
"w"|"39853526"|"14890378"
"w"|"39853527"|"14890379"
"g"|"39853530"|"14890212"
"w"|"39853535"|"14889036"
"g"|"39853539"|"14890406"
"g"|"39853540"|"14890407"
"g"|"39853541"|"14890408"
"w"|"39853542"|"14890409"
"w"|"39853543"|"14890410"
"b"|"39853545"|"14889557"
"w"|"39853546"|"14889558"
"b"|"39853546"|"14889559"
"w"|"39853547"|"14889560"
"u"|"39853547"|"14889561"
"u"|"39853549"|"14889205"
"u"|"39853550"|"14889206"
"u"|"39853551"|"14889207"
"w"|"39853552"|"14889994"
"b"|"39853554"|"14889989"
"w"|"39853556"|"14889990"
"b"|"39853556"|"14889991"
"w"|"39853557"|"14889992"
"w"|"39853558"|"14889993"
"u"|"39853560"|"14889024"
"w"|"39853561"|"14889025"
"u"|"39853561"|"14889026"
"w"|"39853562"|"14889030"
"w"|"39853563"|"14889031"
"w"|"39853567"|"14890244"
"u"|"39853572"|"14889007"
"w"|"39853573"|"14889008"
"u"|"39853573"|"14889009"
"w"|"39853576"|"14889035"
"w"|"39853580"|"14890390"
"w"|"39853581"|"14890391"
"w"|"39853583"|"14890430"
"w"|"39853589"|"14889677"
"p"|"39853590"|"14889678"
"i"|"39853592"|"14889679"
"w"|"39853595"|"14889674"
"p"|"39853596"|"14889675"
"i"|"39853598"|"14889676"
"w"|"39853599"|"14890389"
"w"|"39853602"|"14890388"
"g"|"39853605"|"14889124"
"w"|"39853609"|"14890428"
"w"|"39853613"|"14890427"
"w"|"39853615"|"14890386"
"w"|"39853616"|"14890387"
"g"|"39853620"|"14889037"
"w"|"39853623"|"14889671"
"p"|"39853624"|"14889672"
"i"|"39853626"|"14889673"
"w"|"39853629"|"14889668"
"p"|"39853630"|"14889669"
"i"|"39853632"|"14889670"
"w"|"39853633"|"14890403"
"w"|"39853636"|"14890402"
"g"|"39853639"|"14889125"
"w"|"39853643"|"14890429"
"w"|"39853645"|"14890425"
"w"|"39853646"|"14890426"
"w"|"39853651"|"14890432"
"w"|"39853654"|"14890093"
"p"|"39853655"|"14890094"
"i"|"39853657"|"14890095"
"w"|"39853660"|"14889680"
"p"|"39853661"|"14889681"
"i"|"39853663"|"14889682"
"w"|"39853665"|"14890404"
"w"|"39853666"|"14890405"
"w"|"39853671"|"14890431"
"b"|"39853673"|"14889995"
"w"|"39853675"|"14889996"
"b"|"39853675"|"14889997"
"w"|"39853676"|"14889998"
"w"|"39853677"|"14889999"
"w"|"39853678"|"14890000"
"u"|"39853679"|"14889208"
"u"|"39853680"|"14889209"
"u"|"39853681"|"14889210"
"u"|"39853683"|"14889692"
"w"|"39853684"|"14889693"
"u"|"39853684"|"14889694"
"b"|"39853686"|"14889562"
"w"|"39853687"|"14889563"
"b"|"39853687"|"14889564"
"w"|"39853688"|"14889565"
"u"|"39853688"|"14889566"
"w"|"39853690"|"14890300"
"w"|"39853691"|"14890301"
"w"|"39853694"|"14890302"
"w"|"39853695"|"14890303"
"b"|"39853699"|"14889567"
"w"|"39853700"|"14889568"
"b"|"39853700"|"14889569"
"w"|"39853701"|"14889570"
"u"|"39853701"|"14889571"
"u"|"39853704"|"14889695"
"w"|"39853705"|"14889696"
"u"|"39853705"|"14889697"
"u"|"39853706"|"14889211"
"u"|"39853707"|"14889212"
"u"|"39853708"|"14889213"
"b"|"39853710"|"14890001"
