"Linear"|"Linear"|"20518865"|"11607254"
"Concave"|"Linear"|"20518866"|"11606335"
"Linear"|"Linear"|"20518867"|"11606336"
"Convex"|"Convex"|"20518867"|"11606337"
"Linear"|"Concave"|"20518867"|"11606338"
"Concave"|"Concave"|"20518867"|"11606339"
"Linear"|"Linear"|"20518868"|"11606340"
"Convex"|"Convex"|"20518868"|"11606341"
"Linear"|"Linear"|"20518869"|"11606342"
"Convex"|"Convex"|"20518869"|"11606343"
"Linear"|"Linear"|"20518870"|"11606347"
"Convex"|"Convex"|"20518870"|"11606348"
"Linear"|"Linear"|"20518871"|"11606349"
"Convex"|"Convex"|"20518871"|"11606350"
"Linear"|"Concave"|"20518871"|"11606351"
"Concave"|"Concave"|"20518871"|"11606352"
"Linear"|"Linear"|"20518872"|"11607550"
"Convex"|"Convex"|"20518872"|"11607551"
"Linear"|"Linear"|"20518873"|"11607565"
"Convex"|"Convex"|"20518873"|"11607566"
"Linear"|"Linear"|"20518874"|"11607583"
"Convex"|"Convex"|"20518874"|"11607584"
"Linear"|"Linear"|"20518875"|"11607597"
"Convex"|"Convex"|"20518875"|"11607598"
"Linear"|"Linear"|"20518876"|"11607610"
"Convex"|"Convex"|"20518876"|"11607611"
"Linear"|"Linear"|"20518877"|"11607474"
"Convex"|"Convex"|"20518878"|"11607476"
"Linear"|"Linear"|"20518879"|"11607477"
"Convex"|"Convex"|"20518879"|"11607478"
"Linear"|"Linear"|"20518880"|"11607479"
"Convex"|"Convex"|"20518880"|"11607480"
"Linear"|"Linear"|"20518881"|"11607481"
"Convex"|"Convex"|"20518881"|"11607482"
"Linear"|"Linear"|"20518882"|"11607483"
"Convex"|"Convex"|"20518882"|"11607484"
"Linear"|"Concave"|"20518882"|"11607485"
"Concave"|"Concave"|"20518882"|"11607486"
"Linear"|"Linear"|"20518883"|"11607458"
"Convex"|"Convex"|"20518883"|"11607459"
"Linear"|"Linear"|"20518884"|"11607460"
"Convex"|"Convex"|"20518884"|"11607461"
"Linear"|"Linear"|"20518885"|"11607463"
"Convex"|"Convex"|"20518885"|"11607464"
"Linear"|"Concave"|"20518885"|"11607465"
"Concave"|"Concave"|"20518885"|"11607466"
"Linear"|"Linear"|"20518886"|"11607468"
"Convex"|"Convex"|"20518886"|"11607469"
"Linear"|"Linear"|"20518887"|"11607470"
"Convex"|"Convex"|"20518887"|"11607471"
"Linear"|"Linear"|"20518888"|"11607472"
"Convex"|"Convex"|"20518888"|"11607473"
"Linear"|"Linear"|"20518889"|"11607441"
"Convex"|"Convex"|"20518889"|"11607442"
"Linear"|"Concave"|"20518889"|"11607443"
"Concave"|"Concave"|"20518889"|"11607444"
"Linear"|"Linear"|"20518890"|"11607445"
"Convex"|"Convex"|"20518890"|"11607446"
"Linear"|"Concave"|"20518890"|"11607447"
"Concave"|"Concave"|"20518890"|"11607448"
"Convex"|"Convex"|"20518891"|"11607452"
"Linear"|"Linear"|"20518892"|"11607453"
"Linear"|"Linear"|"20518893"|"11607454"
"Convex"|"Convex"|"20518893"|"11607455"
"Linear"|"Linear"|"20518894"|"11607456"
"Convex"|"Convex"|"20518894"|"11607457"
"Linear"|"Linear"|"20518895"|"11607427"
"Convex"|"Convex"|"20518895"|"11607428"
"Linear"|"Linear"|"20518896"|"11607429"
"Convex"|"Convex"|"20518896"|"11607430"
"Linear"|"Concave"|"20518896"|"11607431"
"Concave"|"Concave"|"20518896"|"11607432"
"Concave"|"Linear"|"20518897"|"11607433"
"Linear"|"Linear"|"20518898"|"11607435"
"Convex"|"Convex"|"20518898"|"11607436"
"Linear"|"Linear"|"20518899"|"11607437"
"Convex"|"Convex"|"20518899"|"11607438"
"Convex"|"Convex"|"20518900"|"11607439"
"Linear"|"Linear"|"20518901"|"11607414"
"Linear"|"Linear"|"20518902"|"11607415"
"Convex"|"Convex"|"20518902"|"11607416"
"Linear"|"Concave"|"20518902"|"11607417"
"Concave"|"Concave"|"20518902"|"11607418"
"Convex"|"Convex"|"20518903"|"11607419"
"Linear"|"Linear"|"20518904"|"11607420"
"Convex"|"Convex"|"20518904"|"11607421"
"Linear"|"Linear"|"20518905"|"11607422"
"Convex"|"Convex"|"20518905"|"11607423"
"Linear"|"Linear"|"20518906"|"11607425"
"Convex"|"Convex"|"20518906"|"11607426"
"Linear"|"Linear"|"20518908"|"11607401"
"Convex"|"Convex"|"20518908"|"11607402"
"Linear"|"Linear"|"20518909"|"11607407"
"Convex"|"Convex"|"20518909"|"11607408"
"Linear"|"Linear"|"20518911"|"11607409"
"Convex"|"Convex"|"20518911"|"11607410"
"Linear"|"Linear"|"20518912"|"11607412"
"Concave"|"Concave"|"20518912"|"11607413"
"Linear"|"Linear"|"20518914"|"11607392"
"Convex"|"Convex"|"20518914"|"11607393"
"Linear"|"Linear"|"20518915"|"11607394"
"Convex"|"Convex"|"20518915"|"11607395"
"Linear"|"Linear"|"20518916"|"11607397"
"Linear"|"Linear"|"20518917"|"11607398"
"Concave"|"Concave"|"20518917"|"11607399"
"Linear"|"Linear"|"20518918"|"11607403"
"Convex"|"Convex"|"20518918"|"11607404"
"Linear"|"Linear"|"20518919"|"11607382"
"Convex"|"Convex"|"20518919"|"11607383"
"Linear"|"Linear"|"20518920"|"11607384"
"Linear"|"Linear"|"20518921"|"11607385"
"Linear"|"Linear"|"20518922"|"11607386"
"Convex"|"Convex"|"20518922"|"11607387"
"Linear"|"Linear"|"20518923"|"11607388"
"Concave"|"Concave"|"20518923"|"11607389"
"Linear"|"Linear"|"20518924"|"11607390"
"Convex"|"Convex"|"20518924"|"11607391"
"Linear"|"Linear"|"20518925"|"11607371"
"Convex"|"Convex"|"20518925"|"11607372"
"Linear"|"Linear"|"20518926"|"11607374"
"Convex"|"Convex"|"20518926"|"11607375"
"Linear"|"Linear"|"20518928"|"11607376"
"Convex"|"Convex"|"20518928"|"11607377"
"Linear"|"Linear"|"20518929"|"11607378"
"Convex"|"Convex"|"20518929"|"11607379"
"Linear"|"Linear"|"20518930"|"11607380"
"Concave"|"Concave"|"20518930"|"11607381"
"Linear"|"Linear"|"20518931"|"11607349"
"Convex"|"Convex"|"20518931"|"11607350"
"Convex"|"Linear"|"20518932"|"11607351"
"Linear"|"Linear"|"20518933"|"11607363"
"Convex"|"Convex"|"20518933"|"11607364"
"Convex"|"Linear"|"20518934"|"11607365"
"Concave"|"Linear"|"20518935"|"11607367"
"Linear"|"Linear"|"20518936"|"11607368"
