|||"Dip"|"20518897"|"7004367"
|||"Talf"|"20518897"|"7004368"
|"Side Slope"|||"20518898"|"7004370"
|"Crest"|||"20518898"|"7004371"
|"Base Slope"|||"20518898"|"7004372"
|||"Talf"|"20518898"|"7004373"
|||"Talf"|"20518899"|"7004374"
|"Crest"|||"20518899"|"7004375"
|"Side Slope"|||"20518899"|"7004376"
|"Base Slope"|||"20518899"|"7004377"
|||"Talf"|"20518900"|"7004378"
|||"Talf"|"20518901"|"7004335"
|||"Rise"|"20518901"|"7004336"
|"Base Slope"|||"20518902"|"7004337"
|"Side Slope"|||"20518902"|"7004338"
|"Crest"|||"20518902"|"7004339"
|||"Rise"|"20518902"|"7004340"
|||"Dip"|"20518902"|"7004341"
|||"Talf"|"20518902"|"7004342"
|||"Talf"|"20518903"|"7004343"
|||"Talf"|"20518904"|"7004344"
|"Crest"|||"20518904"|"7004345"
|"Side Slope"|||"20518904"|"7004346"
|"Base Slope"|||"20518904"|"7004347"
|"Side Slope"|||"20518905"|"7004348"
|"Crest"|||"20518905"|"7004349"
|"Base Slope"|||"20518905"|"7004350"
|||"Talf"|"20518905"|"7004351"
|"Side Slope"|||"20518906"|"7004353"
|"Crest"|||"20518906"|"7004354"
|"Base Slope"|||"20518906"|"7004355"
|||"Talf"|"20518906"|"7004356"
|||"Talf"|"20518908"|"7004308"
|||"Rise"|"20518908"|"7004309"
|"Crest"|||"20518908"|"7004310"
|"Side Slope"|||"20518908"|"7004311"
|"Base Slope"|||"20518908"|"7004312"
|||"Talf"|"20518909"|"7004320"
|||"Rise"|"20518909"|"7004321"
|"Crest"|||"20518909"|"7004322"
|"Side Slope"|||"20518909"|"7004323"
|"Base Slope"|||"20518909"|"7004324"
|||"Talf"|"20518911"|"7004325"
|||"Rise"|"20518911"|"7004326"
|"Crest"|||"20518911"|"7004327"
|"Side Slope"|||"20518911"|"7004328"
|"Base Slope"|||"20518911"|"7004329"
|||"Talf"|"20518912"|"7004333"
|||"Dip"|"20518912"|"7004334"
|||"Talf"|"20518914"|"7004290"
|||"Rise"|"20518914"|"7004291"
|"Crest"|||"20518914"|"7004292"
|"Side Slope"|||"20518914"|"7004293"
|"Base Slope"|||"20518914"|"7004294"
|||"Talf"|"20518915"|"7004295"
|||"Rise"|"20518915"|"7004296"
|"Crest"|||"20518915"|"7004297"
|"Side Slope"|||"20518915"|"7004298"
|"Base Slope"|||"20518915"|"7004299"
|||"Talf"|"20518916"|"7004301"
|||"Rise"|"20518916"|"7004302"
|||"Talf"|"20518917"|"7004303"
|||"Dip"|"20518917"|"7004304"
|||"Talf"|"20518918"|"7004313"
|||"Rise"|"20518918"|"7004314"
|"Crest"|||"20518918"|"7004315"
|"Side Slope"|||"20518918"|"7004316"
|"Base Slope"|||"20518918"|"7004317"
|||"Talf"|"20518919"|"7004272"
|"Crest"||"Rise"|"20518919"|"7004273"
|"Side Slope"|||"20518919"|"7004274"
|"Base Slope"|||"20518919"|"7004275"
||||"20518919"|"7004276"
|||"Talf"|"20518920"|"7004277"
|||"Talf"|"20518921"|"7004278"
|||"Talf"|"20518922"|"7004279"
|"Crest"||"Rise"|"20518922"|"7004280"
|"Side Slope"|||"20518922"|"7004281"
|"Base Slope"|||"20518922"|"7004282"
||||"20518922"|"7004283"
|||"Talf"|"20518923"|"7004284"
|||"Dip"|"20518923"|"7004285"
|||"Talf"|"20518924"|"7004286"
|"Crest"|||"20518924"|"7004287"
|"Side Slope"|||"20518924"|"7004288"
|"Base Slope"|||"20518924"|"7004289"
|||"Talf"|"20518925"|"7004251"
|"Crest"|||"20518925"|"7004252"
|"Side Slope"|||"20518925"|"7004253"
|"Base Slope"|||"20518925"|"7004254"
|||"Talf"|"20518926"|"7004256"
|||"Rise"|"20518926"|"7004257"
|"Crest"|||"20518926"|"7004258"
|"Side Slope"|||"20518926"|"7004259"
|"Base Slope"|||"20518926"|"7004260"
|||"Talf"|"20518928"|"7004261"
|||"Rise"|"20518928"|"7004262"
|"Crest"|||"20518928"|"7004263"
|"Side Slope"|||"20518928"|"7004264"
|"Base Slope"|||"20518928"|"7004265"
|||"Talf"|"20518929"|"7004266"
|"Crest"|||"20518929"|"7004267"
|"Side Slope"|||"20518929"|"7004268"
|"Base Slope"|||"20518929"|"7004269"
|||"Talf"|"20518930"|"7004270"
|||"Dip"|"20518930"|"7004271"
|||"Talf"|"20518931"|"7004219"
|"Crest"|||"20518931"|"7004220"
|"Side Slope"|||"20518931"|"7004221"
|"Base Slope"|||"20518931"|"7004222"
|"Side Slope"|||"20518932"|"7004223"
|||"Talf"|"20518933"|"7004239"
|"Crest"|||"20518933"|"7004240"
|"Side Slope"|||"20518933"|"7004241"
|"Base Slope"|||"20518933"|"7004242"
|"Side Slope"|||"20518934"|"7004243"
|||"Dip"|"20518935"|"7004245"
|||"Talf"|"20518935"|"7004246"
|"Base Slope"|||"20518936"|"7004247"
|"Side Slope"|||"20518936"|"7004248"
|||"Talf"|"20518936"|"7004249"
|||"Talf"|"20518937"|"7004195"
|"Base Slope"|||"20518938"|"7004197"
|"Side Slope"|||"20518938"|"7004198"
|"Crest"|||"20518938"|"7004199"
|||"Rise"|"20518938"|"7004200"
|||"Dip"|"20518938"|"7004201"
|||"Talf"|"20518938"|"7004202"
|||"Talf"|"20518939"|"7004211"
|"Crest"||"Rise"|"20518939"|"7004212"
|||"Talf"|"20518940"|"7004213"
|||"Dip"|"20518940"|"7004214"
|||"Talf"|"20518941"|"7004215"
|||"Talf"|"20518942"|"7004216"
|||"Rise"|"20518942"|"7004217"
|"Base Slope"|||"20518943"|"7004165"
|"Side Slope"|||"20518943"|"7004166"
|"Crest"|||"20518943"|"7004167"
|||"Rise"|"20518943"|"7004168"
|||"Dip"|"20518943"|"7004169"
|||"Talf"|"20518943"|"7004170"
|||"Dip"|"20518944"|"7004171"
|||"Talf"|"20518944"|"7004172"
|"Side Slope"|||"20518945"|"7004177"
|"Base Slope"|||"20518945"|"7004178"
|"Crest"|||"20518945"|"7004179"
|||"Talf"|"20518945"|"7004180"
|||"Rise"|"20518945"|"7004181"
|"Side Slope"|||"20518946"|"7004185"
|"Base Slope"|||"20518946"|"7004186"
|"Crest"|||"20518946"|"7004187"
|||"Talf"|"20518946"|"7004188"
|||"Rise"|"20518946"|"7004189"
|||"Talf"|"20518947"|"7004190"
|"Crest"|||"20518947"|"7004191"
|"Side Slope"|||"20518947"|"7004192"
|"Base Slope"|||"20518947"|"7004193"
|||"Talf"|"20518948"|"7004194"
|||"Talf"|"20518950"|"7004148"
|||"Talf"|"20518951"|"7004149"
|"Crest"||"Rise"|"20518951"|"7004150"
|"Side Slope"|||"20518951"|"7004151"
|"Base Slope"|||"20518951"|"7004152"
||||"20518951"|"7004153"
|||"Talf"|"20518952"|"7004154"
|||"Dip"|"20518952"|"7004155"
|"Side Slope"|||"20518953"|"7004156"
|"Crest"|||"20518953"|"7004157"
|"Base Slope"|||"20518953"|"7004158"
|||"Talf"|"20518953"|"7004159"
|||"Talf"|"20518954"|"7004160"
|"Crest"|||"20518954"|"7004161"
|"Side Slope"|||"20518954"|"7004162"
|"Base Slope"|||"20518954"|"7004163"
|||"Dip"|"20518955"|"7004129"
|||"Talf"|"20518955"|"7004130"
|"Side Slope"|||"20518956"|"7004131"
|"Base Slope"|||"20518956"|"7004132"
|"Crest"|||"20518957"|"7004133"
|"Side Slope"|||"20518957"|"7004134"
|"Base Slope"|||"20518957"|"7004135"
|||"Dip"|"20518958"|"7004136"
|||"Talf"|"20518958"|"7004137"
|||"Talf"|"20518959"|"7004138"
|||"Rise"|"20518959"|"7004139"
|"Crest"|||"20518959"|"7004140"
|"Side Slope"|||"20518959"|"7004141"
|"Base Slope"|||"20518959"|"7004142"
|||"Talf"|"20518960"|"7004143"
|||"Rise"|"20518960"|"7004144"
|"Crest"|||"20518960"|"7004145"
|"Side Slope"|||"20518960"|"7004146"
|"Base Slope"|||"20518960"|"7004147"
|||"Talf"|"20518961"|"7004101"
|"Crest"|||"20518961"|"7004102"
|"Side Slope"|||"20518961"|"7004103"
|"Base Slope"|||"20518961"|"7004104"
|||"Dip"|"20518962"|"7004105"
|||"Talf"|"20518962"|"7004106"
|"Base Slope"|||"20518963"|"7004107"
|"Side Slope"|||"20518963"|"7004108"
|"Crest"|||"20518963"|"7004109"
|||"Rise"|"20518963"|"7004110"
|||"Dip"|"20518963"|"7004111"
|||"Talf"|"20518963"|"7004112"
|"Side Slope"|||"20518964"|"7004117"
|"Base Slope"|||"20518964"|"7004118"
|"Crest"|||"20518964"|"7004119"
|||"Talf"|"20518964"|"7004120"
|||"Rise"|"20518964"|"7004121"
|"Side Slope"|||"20518965"|"7004125"
|"Base Slope"|||"20518965"|"7004126"
|"Side Slope"|||"20518966"|"7004127"
|"Base Slope"|||"20518966"|"7004128"
||"Tread"||"20518967"|"7004071"
|||"Talf"|"20518968"|"7004081"
|||"Rise"|"20518968"|"7004082"
|||"Talf"|"20518969"|"7004086"
|||"Rise"|"20518969"|"7004087"
|"Crest"|||"20518969"|"7004088"
|"Side Slope"|||"20518969"|"7004089"
|"Base Slope"|||"20518969"|"7004090"
|||"Talf"|"20518970"|"7004091"
|||"Rise"|"20518970"|"7004092"
|"Crest"|||"20518970"|"7004093"
|"Side Slope"|||"20518970"|"7004094"
|"Base Slope"|||"20518970"|"7004095"
|"Side Slope"|||"20518972"|"7004097"
|"Crest"|||"20518972"|"7004098"
|"Base Slope"|||"20518972"|"7004099"
|||"Talf"|"20518972"|"7004100"
|||"Talf"|"20518973"|"7004046"
|"Crest"|||"20518973"|"7004047"
|"Side Slope"|||"20518973"|"7004048"
|"Base Slope"|||"20518973"|"7004049"
|"Side Slope"|||"20518974"|"7004052"
|"Base Slope"|||"20518974"|"7004053"
|"Crest"|||"20518974"|"7004054"
|||"Talf"|"20518974"|"7004055"
|||"Rise"|"20518974"|"7004056"
|"Crest"|||"20518975"|"7004058"
|"Side Slope"|||"20518975"|"7004059"
|"Base Slope"|||"20518975"|"7004060"
|"Base Slope"|||"20518976"|"7004061"
|"Side Slope"|||"20518976"|"7004062"
|"Crest"|||"20518976"|"7004063"
|||"Rise"|"20518976"|"7004064"
|||"Dip"|"20518976"|"7004065"
|||"Talf"|"20518976"|"7004066"
|||"Dip"|"20518977"|"7004067"
|||"Talf"|"20518977"|"7004068"
|||"Dip"|"20518978"|"7004069"
|||"Talf"|"20518978"|"7004070"
|"Base Slope"|||"20518979"|"7004018"
|"Side Slope"|||"20518979"|"7004019"
|"Crest"|||"20518979"|"7004020"
|||"Rise"|"20518979"|"7004021"
|||"Dip"|"20518979"|"7004022"
|||"Talf"|"20518979"|"7004023"
|||"Talf"|"20518980"|"7004025"
|"Crest"|||"20518980"|"7004026"
|"Side Slope"|||"20518980"|"7004027"
|"Base Slope"|||"20518980"|"7004028"
|"Side Slope"|||"20518981"|"7004029"
|"Crest"|||"20518981"|"7004030"
|"Base Slope"|||"20518981"|"7004031"
|||"Talf"|"20518981"|"7004032"
|"Base Slope"|||"20518982"|"7004034"
|"Side Slope"|||"20518982"|"7004035"
|"Crest"|||"20518982"|"7004036"
|||"Rise"|"20518982"|"7004037"
|||"Dip"|"20518982"|"7004038"
|||"Talf"|"20518982"|"7004039"
|"Base Slope"|||"20518983"|"7004040"
|"Side Slope"|||"20518983"|"7004041"
|||"Talf"|"20518983"|"7004042"
|"Base Slope"|||"20518984"|"7004043"
|"Side Slope"|||"20518984"|"7004044"
|||"Talf"|"20518984"|"7004045"
|"Side Slope"|||"20518985"|"7003997"
|"Crest"|||"20518985"|"7003998"
|"Base Slope"|||"20518985"|"7003999"
|||"Talf"|"20518985"|"7004000"
|||"Talf"|"20518986"|"7004001"
|"Crest"|||"20518986"|"7004002"
|"Side Slope"|||"20518986"|"7004003"
|"Base Slope"|||"20518986"|"7004004"
|||"Talf"|"20518987"|"7004006"
|||"Talf"|"20518988"|"7004007"
|"Crest"|||"20518988"|"7004008"
|"Side Slope"|||"20518988"|"7004009"
|"Base Slope"|||"20518988"|"7004010"
|"Side Slope"|||"20518989"|"7004011"
|"Crest"|||"20518989"|"7004012"
|"Base Slope"|||"20518989"|"7004013"
|||"Talf"|"20518989"|"7004014"
|"Base Slope"|||"20518990"|"7004015"
|"Side Slope"|||"20518990"|"7004016"
|||"Talf"|"20518990"|"7004017"
|||"Talf"|"20518991"|"7003970"
|"Crest"|||"20518991"|"7003971"
|"Side Slope"|||"20518991"|"7003972"
|"Base Slope"|||"20518991"|"7003973"
|||"Talf"|"20518992"|"7003974"
|"Crest"|||"20518992"|"7003975"
|"Side Slope"|||"20518992"|"7003976"
|"Base Slope"|||"20518992"|"7003977"
|"Side Slope"|||"20518993"|"7003978"
|"Crest"|||"20518993"|"7003979"
|"Base Slope"|||"20518993"|"7003980"
|||"Talf"|"20518993"|"7003981"
|||"Dip"|"20518994"|"7003982"
|||"Talf"|"20518994"|"7003983"
|"Base Slope"|||"20518995"|"7003984"
|"Side Slope"|||"20518995"|"7003985"
|"Crest"|||"20518995"|"7003986"
|||"Rise"|"20518995"|"7003987"
|||"Dip"|"20518995"|"7003988"
|||"Talf"|"20518995"|"7003989"
|"Base Slope"|||"20518996"|"7003991"
|"Side Slope"|||"20518996"|"7003992"
|"Crest"|||"20518996"|"7003993"
|||"Rise"|"20518996"|"7003994"
|||"Dip"|"20518996"|"7003995"
|||"Talf"|"20518996"|"7003996"
|"Side Slope"|||"20518997"|"7003945"
|"Crest"|||"20518997"|"7003946"
|"Base Slope"|||"20518997"|"7003947"
|||"Talf"|"20518997"|"7003948"
|||"Talf"|"20518998"|"7003949"
|"Base Slope"|||"20518999"|"7003950"
|"Side Slope"|||"20518999"|"7003951"
|"Crest"|||"20518999"|"7003952"
|||"Rise"|"20518999"|"7003953"
|||"Dip"|"20518999"|"7003954"
|||"Talf"|"20518999"|"7003955"
|"Base Slope"|||"20519000"|"7003958"
|"Side Slope"|||"20519000"|"7003959"
|"Crest"|||"20519000"|"7003960"
|||"Rise"|"20519000"|"7003961"
|||"Dip"|"20519000"|"7003962"
|||"Talf"|"20519000"|"7003963"
|||"Dip"|"20519001"|"7003964"
|||"Talf"|"20519001"|"7003965"
|"Side Slope"|||"20519002"|"7003966"
|"Crest"|||"20519002"|"7003967"
|"Base Slope"|||"20519002"|"7003968"
|||"Talf"|"20519002"|"7003969"
|"Base Slope"|||"20519003"|"7003928"
|"Side Slope"|||"20519003"|"7003929"
|||"Talf"|"20519003"|"7003930"
|"Side Slope"|||"20519004"|"7003931"
|||"Dip"|"20519005"|"7003934"
|||"Talf"|"20519005"|"7003935"
||"Tread"||"20519006"|"7003936"
|||"Dip"|"20519007"|"7003937"
|||"Talf"|"20519007"|"7003938"
|"Base Slope"|||"20519008"|"7003939"
|"Side Slope"|||"20519008"|"7003940"
|"Crest"|||"20519008"|"7003941"
|||"Rise"|"20519008"|"7003942"
|||"Dip"|"20519008"|"7003943"
|||"Talf"|"20519008"|"7003944"
|||"Talf"|"20519009"|"7003907"
|"Crest"|||"20519009"|"7003908"
|"Side Slope"|||"20519009"|"7003909"
|"Base Slope"|||"20519009"|"7003910"
|"Side Slope"|||"20519010"|"7003911"
|"Crest"|||"20519010"|"7003912"
|"Base Slope"|||"20519010"|"7003913"
|||"Talf"|"20519010"|"7003914"
|"Side Slope"|||"20519011"|"7003915"
|||"Talf"|"20519012"|"7003916"
|"Crest"|||"20519013"|"7003920"
|"Side Slope"|||"20519013"|"7003921"
|"Base Slope"|||"20519013"|"7003922"
|||"Talf"|"20519013"|"7003923"
|"Crest"|||"20519014"|"7003924"
|"Side Slope"|||"20519014"|"7003925"
|"Base Slope"|||"20519014"|"7003926"
|||"Talf"|"20519014"|"7003927"
|||"Talf"|"20519015"|"7003885"
|"Side Slope"|||"20519016"|"7003886"
|"Side Slope"|||"20519017"|"7003887"
|"Crest"|||"20519017"|"7003888"
|"Base Slope"|||"20519017"|"7003889"
|||"Talf"|"20519017"|"7003890"
|||"Talf"|"20519018"|"7003891"
|"Crest"|||"20519018"|"7003892"
