unit_id,Mean_slope,tract_id
TRACT_00151,4.96515,TRACT_00151
TRACT_00152,5.277608,TRACT_00152
TRACT_00153,2.932369,TRACT_00153
TRACT_00154,2.492934,TRACT_00154
TRACT_00155,4.11606,TRACT_00155
TRACT_00156,4.124212,TRACT_00156
TRACT_00157,2.388011,TRACT_00157
TRACT_00158,2.784761,TRACT_00158
TRACT_00159,3.790329,TRACT_00159
TRACT_00160,4.173847,TRACT_00160
TRACT_00161,5.276183,TRACT_00161
TRACT_00162,2.576165,TRACT_00162
TRACT_00163,2.561155,TRACT_00163
TRACT_00164,7.098016,TRACT_00164
TRACT_00165,4.34043,TRACT_00165
TRACT_00166,1.938946,TRACT_00166
TRACT_00167,5.463957,TRACT_00167
TRACT_00168,1.627426,TRACT_00168
TRACT_00169,4.868358,TRACT_00169
TRACT_00170,5.849697,TRACT_00170
TRACT_00171,3.390362,TRACT_00171
TRACT_00172,5.185563,TRACT_00172
TRACT_00173,2.99969,TRACT_00173
TRACT_00174,4.135079,TRACT_00174
TRACT_00175,1.798126,TRACT_00175
TRACT_00176,4.621166,TRACT_00176
TRACT_00177,2.066614,TRACT_00177
TRACT_00178,3.114923,TRACT_00178
TRACT_00179,3.034613,TRACT_00179
TRACT_00180,4.737932,TRACT_00180
TRACT_00181,5.726013,TRACT_00181
TRACT_00182,3.314717,TRACT_00182
TRACT_00183,7.220328,TRACT_00183
TRACT_00184,4.315029,TRACT_00184
TRACT_00185,3.715261,TRACT_00185
TRACT_00186,11.604304,TRACT_00186
TRACT_00187,3.522359,TRACT_00187
TRACT_00188,9.325849,TRACT_00188
TRACT_00189,2.724864,TRACT_00189
TRACT_00190,7.020746,TRACT_00190
TRACT_00191,1.950392,TRACT_00191
TRACT_00192,3.532676,TRACT_00192
TRACT_00193,2.101531,TRACT_00193
TRACT_00194,8.26738,TRACT_00194
TRACT_00195,2.660595,TRACT_00195
TRACT_00196,14.838203,TRACT_00196
TRACT_00197,8.595207,TRACT_00197
TRACT_00198,4.330777,TRACT_00198
TRACT_00199,2.532448,TRACT_00199
TRACT_00200,1.960683,TRACT_00200
TRACT_00201,2.737894,TRACT_00201
TRACT_00202,2.308228,TRACT_00202
TRACT_00203,3.273196,TRACT_00203
TRACT_00204,5.1881,TRACT_00204
TRACT_00205,14.382573,TRACT_00205
TRACT_00206,13.290868,TRACT_00206
TRACT_00207,1.109841,TRACT_00207
TRACT_00208,0.892523,TRACT_00208
TRACT_00209,3.384312,TRACT_00209
TRACT_00210,12.458934,TRACT_00210
TRACT_00211,11.601232,TRACT_00211
TRACT_00212,6.816144,TRACT_00212
TRACT_00213,3.569423,TRACT_00213
TRACT_00214,2.024199,TRACT_00214
TRACT_00215,7.26532,TRACT_00215
TRACT_00216,3.966692,TRACT_00216
TRACT_00217,4.059932,TRACT_00217
TRACT_00218,2.482714,TRACT_00218
TRACT_00219,2.304583,TRACT_00219
TRACT_00220,16.681746,TRACT_00220
TRACT_00221,11.969374,TRACT_00221
TRACT_00222,15.853666,TRACT_00222
TRACT_00223,3.407292,TRACT_00223
TRACT_00224,8.77574,TRACT_00224
TRACT_00225,3.872883,TRACT_00225
TRACT_00226,8.481305,TRACT_00226
TRACT_00227,1.124167,TRACT_00227
TRACT_00228,0.989425,TRACT_00228
TRACT_00229,3.928175,TRACT_00229
TRACT_00230,13.254576,TRACT_00230
TRACT_00231,2.966408,TRACT_00231
TRACT_00232,4.553957,TRACT_00232
TRACT_00233,3.797823,TRACT_00233
TRACT_00234,4.27921,TRACT_00234
TRACT_00235,6.321178,TRACT_00235
TRACT_00236,8.216973,TRACT_00236
TRACT_00237,9.949468,TRACT_00237
TRACT_00238,3.729481,TRACT_00238
TRACT_00239,3.190351,TRACT_00239
TRACT_00240,3.567013,TRACT_00240
TRACT_00241,3.481744,TRACT_00241
TRACT_00242,4.918708,TRACT_00242
TRACT_00243,2.552118,TRACT_00243
TRACT_00244,3.468987,TRACT_00244
TRACT_00245,8.452141,TRACT_00245
TRACT_00246,3.131578,TRACT_00246
TRACT_00247,4.438636,TRACT_00247
TRACT_00248,7.327321,TRACT_00248
TRACT_00249,2.28762,TRACT_00249
TRACT_00250,2.149706,TRACT_00250
TRACT_00251,2.583928,TRACT_00251
TRACT_00252,3.168913,TRACT_00252
TRACT_00253,9.02567,TRACT_00253
TRACT_00254,3.533837,TRACT_00254
TRACT_00255,8.405317,TRACT_00255
TRACT_00256,4.372509,TRACT_00256
TRACT_00257,3.25908,TRACT_00257
TRACT_00258,13.449131,TRACT_00258
TRACT_00259,3.647478,TRACT_00259
TRACT_00260,5.548414,TRACT_00260
TRACT_00261,3.531406,TRACT_00261
TRACT_00262,4.180201,TRACT_00262
TRACT_00263,3.578448,TRACT_00263
TRACT_00264,2.919143,TRACT_00264
TRACT_00265,5.805822,TRACT_00265
TRACT_00266,3.031488,TRACT_00266
TRACT_00267,6.326382,TRACT_00267
TRACT_00268,5.990389,TRACT_00268
TRACT_00269,4.679433,TRACT_00269
TRACT_00270,3.56341,TRACT_00270
TRACT_00271,2.183183,TRACT_00271
TRACT_00272,3.63711,TRACT_00272
TRACT_00273,2.54669,TRACT_00273
TRACT_00274,2.897451,TRACT_00274
TRACT_00275,2.633949,TRACT_00275
TRACT_00276,3.942389,TRACT_00276
TRACT_00277,2.056911,TRACT_00277
TRACT_00278,6.914261,TRACT_00278
TRACT_00279,6.53947,TRACT_00279
TRACT_00280,4.585184,TRACT_00280
TRACT_00281,3.781659,TRACT_00281
TRACT_00282,8.03225,TRACT_00282
TRACT_00283,4.647901,TRACT_00283
TRACT_00284,7.982243,TRACT_00284
TRACT_00285,9.24063,TRACT_00285
TRACT_00286,1.958659,TRACT_00286
TRACT_00287,3.21282,TRACT_00287
TRACT_00288,3.291515,TRACT_00288
TRACT_00289,2.142954,TRACT_00289
TRACT_00290,5.11513,TRACT_00290
TRACT_00291,1.188524,TRACT_00291
TRACT_00292,4.154117,TRACT_00292
TRACT_00293,2.608177,TRACT_00293
TRACT_00294,3.754723,TRACT_00294
TRACT_00295,1.804331,TRACT_00295
TRACT_00296,5.419964,TRACT_00296
TRACT_00297,4.767353,TRACT_00297
TRACT_00298,3.129338,TRACT_00298
TRACT_00299,2.424805,TRACT_00299
TRACT_00300,3.163623,TRACT_00300
TRACT_00301,6.150566,TRACT_00301
TRACT_00302,6.664189,TRACT_00302
TRACT_00303,1.921142,TRACT_00303
TRACT_00304,4.167942,TRACT_00304
TRACT_00305,2.143445,TRACT_00305
TRACT_00306,1.30779,TRACT_00306
TRACT_00307,2.99181,TRACT_00307
TRACT_00308,4.949042,TRACT_00308
TRACT_00309,7.145439,TRACT_00309
TRACT_00310,2.126165,TRACT_00310
TRACT_00311,1.547458,TRACT_00311
TRACT_00312,4.775073,TRACT_00312
TRACT_00313,7.303438,TRACT_00313
TRACT_00314,2.192599,TRACT_00314
TRACT_00315,2.34709,TRACT_00315
TRACT_00316,5.018099,TRACT_00316
TRACT_00317,7.77866,TRACT_00317
TRACT_00318,5.704603,TRACT_00318
TRACT_00319,7.172789,TRACT_00319
TRACT_00320,5.282805,TRACT_00320
TRACT_00321,10.299916,TRACT_00321
TRACT_00322,3.988728,TRACT_00322
TRACT_00323,2.43156,TRACT_00323
TRACT_00324,6.44449,TRACT_00324
TRACT_00325,6.393919,TRACT_00325
TRACT_00326,2.856996,TRACT_00326
TRACT_00327,4.555695,TRACT_00327
TRACT_00328,2.382574,TRACT_00328
TRACT_00329,6.3875,TRACT_00329
TRACT_00330,8.812997,TRACT_00330
TRACT_00331,6.762854,TRACT_00331
TRACT_00332,3.04813,TRACT_00332
TRACT_00333,7.673762,TRACT_00333
TRACT_00334,3.549509,TRACT_00334
TRACT_00335,5.46226,TRACT_00335
TRACT_00336,5.582379,TRACT_00336
TRACT_00337,8.310888,TRACT_00337
TRACT_00338,5.651182,TRACT_00338
TRACT_00339,4.354535,TRACT_00339
TRACT_00340,3.418562,TRACT_00340
TRACT_00341,4.622879,TRACT_00341
TRACT_00342,4.24166,TRACT_00342
TRACT_00343,4.977929,TRACT_00343
TRACT_00344,5.781131,TRACT_00344
TRACT_00345,4.724429,TRACT_00345
TRACT_00346,5.177138,TRACT_00346
TRACT_00347,3.495368,TRACT_00347
TRACT_00348,3.866815,TRACT_00348
